Entry,Protein names
A0A1X7VT97,Uncharacterized protein
A0A2Z6QDU5,Ion transport domain-containing protein
A0A328RMY4,Ion transporter
A0A7M7T4P7,Voltage-dependent calcium channel alpha-1 subunit IQ domain-containing protein
A0A6G1G8L7,EF-hand domain-containing protein
F2UJ94,WD-40 repeat protein
A0A3P6T765,Cyclic nucleotide-binding domain-containing protein
A0A183AA71,Ca_chan_IQ domain-containing protein
A0A6P4YQQ1,Voltage-dependent L-type calcium channel subunit alpha
A0A257JDP9,FAD:protein FMN transferase (EC 2.7.1.180)
A0A6V7XWQ2,Ion transport domain-containing protein
A0A1S3JJD7,potassium voltage-gated channel subfamily H member 7-like isoform X1
A0A078A8X9,Voltage-gated ion channel superfamily
A0A553PGQ3,Cyclic nucleotide-binding domain-containing protein
A0A1R2CN00,Ion transport domain-containing protein
A0A0B2W0T4,BK channel (Maxi K channel)
A0A0T6AWK0,cNMP binding protein
A0A3Q0IZK1,sodium leak channel non-selective protein-like
A0A7M5UYD7,Cyclic nucleotide-binding domain-containing protein
A0A0K0DF22,Ion_trans domain-containing protein
A7RH64,Ion transport domain-containing protein
F7A6P6,"Potassium voltage-gated channel, subfamily G, member 2"
X6MZ95,Ion transport domain-containing protein
A0A5N5SYT4,Transient receptor potential cation channel protein painless
A0A5E8ABP4,Ion transporter
A0A1S4LVK2,Ion transport domain-containing protein
A0A1Y1US63,Ion transport domain-containing protein
Q5F4S7,"Transient receptor potential cation channel, subfamily M, member 3"
A0A1Q9CHC4,Calmodulin
A0A1D2MKS0,Sodium channel protein type 11 subunit alpha
A0A6P4ZT14,Sodium channel protein
A0A6P4YR97,Sodium channel protein
A0A7M5V9G4,Ion transport domain-containing protein
C5KQJ8,"cGMP-gated cation channel alpha, putative"
A0A3M7P5C0,Sodium channel protein
A0A5J4NZE6,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A087UHD5,Voltage-dependent calcium channel type D subunit alpha-1
A0A7M5X827,BTB domain-containing protein
A0A267GBV7,Uncharacterized protein
A0A1D2MM61,Sodium channel protein para
A0A267H5C2,BTB domain-containing protein
A0A1S3IH43,transient receptor potential cation channel subfamily M member 1-like isoform X4
A0A433PID7,Ion transport domain-containing protein
A0A1Q9ESZ8,Tankyrase-2
Q9SKD7,Probable cyclic nucleotide-gated ion channel 3 (AtCNGC3) (Cyclic nucleotide- and calmodulin-regulated ion channel 3)
A0A087UN03,Sodium channel protein para
A0A024GI55,Ion transport domain-containing protein
A0A6I9HN84,potassium voltage-gated channel subfamily G member 4
A0A6H0Y1W0,Ion transport domain-containing protein
A0A210QCW5,Potassium voltage-gated channel protein Shaw
B7QLT8,"Cyclic nucleotide-gated channel 2B, putative (EC 2.7.11.12)"
A0A6P4ZFL5,cation channel sperm-associated protein 2-like
A0A2T7Q036,Uncharacterized protein
A0A7M5VFM4,Ion transport domain-containing protein
A0A024TBC7,Ion transport domain-containing protein
A0A6J7ZXR0,"Inositol 1,4,5-trisphosphate receptor"
A0A6P8HRL3,transient receptor potential cation channel subfamily V member 4-like
A0A3M7P7A1,Potassium voltage-gated channel subfamily KQT member 1 isoform X4
A0A0G4H639,Ion transport domain-containing protein
A0A0B4KEP9,"KCNQ potassium channel, isoform J"
X6MZE2,Ion transport domain-containing protein
X6N4T8,Ion transport domain-containing protein
A0A4Z2HV26,Voltage-dependent T-type calcium channel subunit alpha-1G
A0A4W3J0F3,Transient receptor potential cation channel subfamily V member 1
A0A7J7KT37,KCNC1
K5XXI5,Ion transport domain-containing protein
B3S220,BTB domain-containing protein
T1EGN7,Cyclic nucleotide-binding domain-containing protein
A0A2I0TTS6,Sodium channel protein
A0A078AKX9,Cation channel family protein
A0A653CQH8,Ion transport domain-containing protein
A0A6A4UZJ6,Sodium/hydrogen exchanger 11
A0E750,"Chromosome undetermined scaffold_80, whole genome shotgun sequence"
M7AS84,Transient receptor potential cation channel subfamily V member 6
A0A1Q9EI76,Potassium voltage-gated channel subfamily H member 5
E4XQL0,Uncharacterized protein
A0A2K3NXR8,CNGC5-like protein
A0A4C1UX74,Muscle calcium channel subunit alpha-1
A0A1I7SBH7,(pine wood nematode) hypothetical protein
G0R417,"K+-channel protein, putative (EC 1.6.5.3)"
Q6RI86,Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Wasabi receptor)
A0A6H5IAH8,Ion transport domain-containing protein
A0A3Q0J8I2,potassium voltage-gated channel protein eag-like
A0A2T7PRA2,Ion transport domain-containing protein
A0A5K4EQ12,"Voltage-gated potassium channel, KCNQ"
A0A016V2T5,LSDAT_euk domain-containing protein
A0A482X0X1,Voltage-dependent L-type calcium channel subunit alpha
A0A6P8ZV84,voltage-dependent calcium channel type A subunit alpha-1 isoform X19
A0A0B2VDU7,Potassium voltage-gated channel subfamily B member 2
A0A183IBJ5,BTB domain-containing protein
A0A0T6AUP1,Ion channel
A0A1Q9EQ46,Potassium voltage-gated channel subfamily H member 1
A0A1Q9DMX7,Calmodulin
A0A183VXX3,Ion_trans domain-containing protein
A0A7M5XAN3,Ion transport domain-containing protein
A0A7M7NR57,Voltage-dependent T-type calcium channel subunit alpha
A0A1S3IIF0,short transient receptor potential channel 3-like
A0A6L2Q597,Ion transport domain-containing protein
A0A482WJ21,Ion transport domain-containing protein
K1QX13,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2
A0A024TMQ8,BK channel (Maxi K channel)
A0A078AVK6,Wd-40 repeat protein
A0A5B7FHU5,Cyclic nucleotide-gated cation channel beta-3
Q60603,Potassium voltage-gated channel subfamily H member 1 (Ether-a-go-go potassium channel 1) (EAG channel 1) (EAG1) (m-eag) (Voltage-gated potassium channel subunit Kv10.1)
V4B9R2,BTB domain-containing protein
A0A2I0UJ31,Potassium voltage-gated channel subfamily v member 2
C1E2M7,Voltage-gated ion channel superfamily
A0A0S2T9C4,Ion transport domain-containing protein
A0A7M7MYB9,LSDAT_euk domain-containing protein
A0A6P8ID59,potassium voltage-gated channel subfamily H member 6-like isoform X5
A0A482RZR5,Ion transport domain-containing protein
A0A4Z2E2I2,Sodium leak channel non-selective protein
W2SHE5,Ion transport domain-containing protein
T1HWF0,Uncharacterized protein
L1JMP7,Ion transport domain-containing protein
A0A2G9UA75,Ion transport domain-containing protein
A0A078AYI0,Wd-40 repeat protein
Q02006,Putative potassium channel protein RPA4233
A0A2Z6SER2,Ion transport domain-containing protein
A0A078AAK8,Sodium voltage-type isoform cra_a
A0A6P8I5Z2,transient receptor potential cation channel subfamily A member 1-like isoform X2
A0A2K3DSB6,Ion transport domain-containing protein
A0A1Q9E981,Reverse transcriptase domain-containing protein
A0A267GDZ9,Ion transport domain-containing protein
A0A2F0B3A3,Voltage-dependent T-type calcium channel subunit alpha-1H
A0A7I8V8S0,BTB domain-containing protein
A0A158P789,BTB domain-containing protein
A0A699ZUN8,Ion transport domain-containing protein
A0A388KV87,Cyclic nucleotide-binding domain-containing protein
V8NQS6,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
A0A383VDX8,Cyclic nucleotide-binding domain-containing protein
A0B9H8,Ion transport 2 domain protein
A0A4W3J1P2,"Inositol 1,4,5-trisphosphate receptor"
A0A654EWQ3,Cyclic nucleotide-binding domain-containing protein
A0A2C9C2X2,Uncharacterized protein
A0A7J7JXP5,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0DZ69,"Chromosome undetermined scaffold_7, whole genome shotgun sequence"
F1LQF7,"Transient receptor potential cation channel, subfamily C, member 7"
A0A6P7U0B5,potassium voltage-gated channel protein Shaker-like
A0A7J7K4Q7,CAC
A0A7M5X2A8,BTB domain-containing protein
A0A177AYA1,Ion transport domain-containing protein
A0A1I2H4C4,Voltage-gated sodium channel
T1HIQ7,Uncharacterized protein
A0A1Y0IGL1,Voltage-gated sodium channel subunit
A0A1H1JRE4,Voltage-gated potassium channel
A0A4W3HRG1,Sodium channel protein
A0A4W3IPT5,Ryanodine receptor 1
M7CHG8,Short transient receptor potential channel 1
A0A0G4EKW6,EF-hand domain-containing protein
A0A267EL04,Ion transport domain-containing protein
A0A7E6EN89,BK channel (Maxi K channel)
A0A6P8HFJ3,potassium voltage-gated channel subfamily H member 6-like isoform X1
A0A6A4X496,Voltage-dependent calcium channel type A subunit alpha-1
A0A4Z2GNY6,Potassium voltage-gated channel subfamily H member 4
A0A5A7PLK7,Cyclic nucleotide-gated channel 15
A0A1I1W651,Voltage-gated sodium channel
A0A7E6FJR5,Potassium voltage-gated channel subfamily KQT member 1 (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)
A0A444TZF5,Potassium voltage-gated channel subfamily D member 2
A0A178VI25,CNGC19
A0A183A623,Ion_trans domain-containing protein
A0A1Q9EB00,Sodium channel protein type 11 subunit alpha
A0A6A4X409,Transient receptor potential cation channel subfamily V member 6
A0A267H031,Ion transport domain-containing protein
A0A6P7S8A9,Voltage-dependent L-type calcium channel subunit alpha
A0A2P4SVK5,BTB domain-containing protein
E0VPB9,Ion transport domain-containing protein
A0A0B2VP54,Cyclic nucleotide-gated cation channel alpha-3
A0A2A2L384,"Inositol 1,4,5-trisphosphate receptor"
A0A199W6I0,Potassium channel KAT3
A0A653BGX8,Ion transport domain-containing protein
Q9JKA8,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3
A0A4W3IWV9,Potassium voltage-gated channel subfamily D member 3
A0A662YX22,"Inositol 1,4,5-trisphosphate receptor"
Q12791,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog) (Slo homolog) (hSlo)"
O00555,"Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)"
A0A5E4MDI6,"Ion transport domain,Ankyrin repeat-containing domain,Ankyrin repeat"
A0A7M7P895,Cyclic nucleotide-binding domain-containing protein
A0A1Q9DKB5,Vegetative incompatibility protein HET-E-1
A0A210PIW1,Potassium voltage-gated channel protein Shaw
A0A1Q9DIS3,Ion transport domain-containing protein
A0A0M0K4C6,Voltage-gated ion channel superfamily
A0A1Q9D1Q8,Ion transport domain-containing protein
A0A183J8Q1,Ion_trans domain-containing protein
X6MV65,Ion transport domain-containing protein
A0A6A5C774,Ion transport domain-containing protein
A0A699Z0S9,Ion transport domain-containing protein
A0A433SVK5,BK channel (Maxi K channel)
A0A1S3IV57,transient receptor potential cation channel subfamily A member 1-like
A0A433PVV7,Ion transport domain-containing protein
A0A2G9V084,K+ channel tetramerization domain protein
A0A078AU73,Wd-40 repeat protein
A0A016RWF7,BTB domain-containing protein
E9PZQ0,Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor)
A0A6P8ZU68,voltage-dependent calcium channel type A subunit alpha-1 isoform X15
A0A267ETR4,Uncharacterized protein
F0XXW1,Cyclic nucleotide-binding domain-containing protein
A0A2K3DVV6,Ion transport domain-containing protein
A0A1S3I3C7,uncharacterized protein LOC106160659 isoform X4
W2TCB3,"Transporter, cation channel family protein"
A0A5K4FFE2,ANK_REP_REGION domain-containing protein
A0A1L8FDJ0,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1
A0A1Q9CRZ8,Calmodulin
A0A7I8W3H3,DgyrCDS11477
C5LC38,Guanylate cyclase domain-containing protein
G5EFJ9,Potassium voltage-gated channel unc-103 (Ether-a-go-go-related gene potassium channel homolog) (ERG homolog) (Eag-related protein homolog) (Ether-a-go-go-related protein homolog) (Uncoordinated protein 103)
A0A6P7T6B1,two pore calcium channel protein 2-like
A0A210QEF2,Potassium voltage-gated channel subfamily KQT member 1 (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)
A0A0M0JS74,Cation channel family protein
A0A3R7ML49,Ion transport domain-containing protein
A0A1L8FZZ1,transient receptor potential cation channel subfamily A member 1
D8QYM9,Uncharacterized protein SmCNGC5_1
Q248I2,Cation channel family transporter
V2Y2R1,"Transporter, cation channel family protein"
A0A6G0URF7,KQT-like 1
A0A5J4NX22,Potassium voltage-gated channel Shaw-related subfamily C member 1
A0A1Y1UT11,Ion transport domain-containing protein
A0A7M7GKZ9,Uncharacterized protein
Q5BFW4,"Integral membrane channel protein, putative (AFU_orthologue AFUA_6G11300)"
F0XXC2,Cyclic nucleotide-binding domain-containing protein
A0A1D1V3C7,Ion transport domain-containing protein
A0A2A2JVW3,Ion transport domain-containing protein
A0A3Q0IS98,two pore calcium channel protein 1-like
A0A3Q0KNU1,"Voltage-gated potassium channel, KCNQ"
A0A4S2LHS4,Voltage-dependent calcium channel alpha-1 subunit IQ domain-containing protein
A0A482WRU0,Ion transport domain-containing protein
Q19464,BTB domain-containing protein
A0A0N4XE53,Potassium voltage-gated channel subfamily F member 1 (inferred by orthology to a human protein)
A0A226EL07,Transient receptor potential channel pyrexia
A0A078BBI6,Cation channel family protein
A0A6P4Z832,transient receptor potential-gamma protein-like
Q8GXE6,Potassium channel AKT6 (Potassium channel SPIK) (Shaker pollen inward rectifier K(+) channel)
A0A6P6YLE9,uncharacterized protein LOC113799183 isoform X3
S8DA85,Potassium channel
F0Y3R8,Ion transport domain-containing protein
R1EQ22,EF-hand domain-containing protein
A0A7M7NN15,Ion transport domain-containing protein
A0A137P2F5,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A1L8FZK0,potassium voltage-gated channel subfamily S member 2
A0A0R0IJN5,Cyclic nucleotide-binding domain-containing protein
A0A7G2EE22,Potassium channel
Q8NEC5,Cation channel sperm-associated protein 1 (CatSper1) (hCatSper)
A0A392P694,Cyclic nucleotide-gated ion channel 15-like
A0A3M0JVG9,Sodium channel protein
F2US94,Glrp1 protein
A0A090M636,Ankyrin repeat
A0A0K0JE97,BMA-GTL-2
A0A6P8J2C2,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A662YK23,Transient receptor potential cation channel subfamily M member 1
L1JJE8,LSDAT_euk domain-containing protein
A0A2A2K7Y4,Ion transport domain-containing protein
A0A0E3VHM1,Sodium channel protein
A0A6P8Z3A4,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 isoform X6
A0A158NZ19,Cyclic nucleotide-binding domain-containing protein
A0A0C2GY63,"Transporter, cation channel family protein"
A0A024U0I3,Cyclic nucleotide-binding domain-containing protein
A0A6J8B5F1,HCN2
A0A3R7PMB0,Putative transient receptor potential cation channel trpm isoform X6
E0VHX0,"Ankyrin repeat-containing protein, putative"
A0A167FKV2,Cch1p
A0A0B1S744,Ion transport domain-containing protein
A0A5J4ND78,BTB domain-containing protein
P97557,Potassium voltage-gated channel subfamily V member 1 (Voltage-gated potassium channel subunit Kv2.3r) (Voltage-gated potassium channel subunit Kv8.1)
A0A1Y2GSS3,Ion transport protein-domain-containing protein
A0A2G9SM19,Ion transport domain-containing protein
A0A0S4J8I3,"Voltage-gated sodium channel protein, putative"
V8P8I3,Potassium voltage-gated channel subfamily S member 2
A0A7M7HM08,Uncharacterized protein
A0A6P8I7M2,potassium voltage-gated channel subfamily C member 1-like
A0A1S3HNF1,potassium voltage-gated channel protein Shaw
Q9VUD5,"Nanchung, isoform A (TRP channel protein nanchung)"
I7MJU6,Cyclic nucleotide-binding domain protein
A0A444U7G4,Transient receptor potential cation channel subfamily M member 5
A0A6A5C258,Cyclic nucleotide-binding domain-containing protein
A0A2R6W8S5,Cyclic nucleotide-binding domain-containing protein
A0A4Y2CMF7,Potassium voltage-gated channel protein Shab
M7BJN7,Voltage-dependent N-type calcium channel subunit alpha
A0A6G0UL81,LITAF domain-containing protein
A0A7J6YP76,Sodium channel protein
A0A0G4EFG3,Ion transport domain-containing protein
A0A4W3IUZ1,non-specific serine/threonine protein kinase (EC 2.7.11.1)
A0A1Q9EMD7,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2
B7YZE7,"I[[h]] channel, isoform F"
F1Q929,Potassium voltage-gated channel subfamily A member 4 (Voltage-gated potassium channel subunit Kv1.4)
A0A5S6PIS0,Voltage-dependent L-type calcium channel subunit alpha
A0A158QAH3,EF-hand domain-containing protein
A0A1E3PMI6,EF-hand domain-containing protein
A0A4Y2GNP7,Ion transport domain-containing protein
A0A6P8YTX0,potassium voltage-gated channel subfamily KQT member 1-like
A0A6V7TRX8,Voltage-dependent L-type calcium channel subunit alpha
A0A6J8ACF6,TRPV5
A0A1L8GEI7,potassium voltage-gated channel subfamily C member 1 isoform X1
A0A0B1SWD7,Ion transport domain-containing protein
A0A078B284,Cation channel family protein
Q9QYU3,Potassium voltage-gated channel subfamily G member 2 (Cardiac potassium channel subunit) (Voltage-gated potassium channel subunit Kv6.2)
A0A1Q9E7V9,Ion transport domain-containing protein
A0A1Q9CEC9,Potassium voltage-gated channel subfamily H member 2
A0A1V9X3J4,Voltage-dependent calcium channel type D subunit alpha-1-like
I1LTG1,Potassium channel
A0A4Y7KN19,Cyclic nucleotide-binding domain-containing protein
A0A0M0JTQ3,Sodium channel protein type 1 subunit alpha
A0A202DBL6,Ion transporter
A0A0M0J8I3,Cyclic nucleotide-binding protein
A0A5Q3L6H6,Voltage-gated sodium channel subunit
A0A4W3GJG3,Potassium voltage-gated channel subfamily B member 2
A0A1S3DN45,potassium voltage-gated channel subfamily H member 4-like
A0A2J7ZPB2,Ion transport domain-containing protein
A7RI86,BTB domain-containing protein
A0A6P4YYX6,shaker-related potassium channel tsha2-like isoform X3
F2UE50,Cyclic nucleotide-binding domain-containing protein
A0A4W3HMT6,Transient receptor potential cation channel subfamily M member 2
T1JBU6,Ion transport domain-containing protein
A0A5J4NSM2,Transient receptor potential cation channel subfamily C member 4
A0A7M5X424,BTB domain-containing protein
A0A5A8CWZ4,Cyclic nucleotide-binding domain-containing protein
A9V8X6,Ion_trans domain-containing protein
A0A6P8HFX0,cyclic nucleotide-gated olfactory channel-like isoform X2
A0A0K0D3F3,Ion_trans domain-containing protein
A0A1Q9DUD3,"Protease Do-like 2, chloroplastic"
F1RB62,"Potassium voltage-gated channel, KQT-like subfamily, member 5b (potassium voltage-gated channel subfamily KQT member 5 isoform X1)"
A0A0D8XT83,Cyclic nucleotide-binding domain protein
V4AQE0,Ion transport domain-containing protein
A7C6Q7,Ion transport protein
A0A3S3PQS9,Sodium channel protein
A0A5J4N5I5,Ion transport domain-containing protein
A0A4W3K984,Two pore segment channel 2
A0A2G8L679,Putative sodium leak channel non-selective protein
A0A4W3GJF7,Potassium voltage-gated channel subfamily B member 2
A0A2Z6S704,Ion transport domain-containing protein
A0A553N743,Ion transport domain-containing protein
A0A5S9X7J1,Cyclic nucleotide-binding domain-containing protein
A0A5E4MAX6,"Cyclic nucleotide-binding, conserved site,Ion transport domain,RmlC-like jelly roll fold,Cyclic"
A0A1Q9CB57,Protein YIPF5
A0A078AFI2,Wd-40 repeat protein
Q24498,Ryanodine receptor (Ryanodine receptor 44F)
A0A137P8Y3,Voltage-gated potassium channel
A0A1Q9CDJ6,Sodium channel protein type 9 subunit alpha
A0A1D1VRS8,Ion transport domain-containing protein
A0A2R2MTQ0,potassium voltage-gated channel protein Shaw isoform X3
A0A077ZST5,Serine threonine protein kinase
F0Y0J7,Cyclic nucleotide-binding domain-containing protein
A0A4Y2TJT3,Muscle calcium channel subunit alpha-1
Q23EB5,Cation channel family protein
X6NWU5,Ion transport domain-containing protein
A0A316FWV6,Voltage-gated sodium channel
A0A2V0PAT5,Ion transport domain-containing protein
A0A4C1YBM3,Potassium voltage-gated channel protein Shaw
A0A183VSM9,Ion_trans domain-containing protein
A0A662YW56,Potassium voltage-gated channel subfamily KQT member 1
A0A0E3W2D0,Ion transport domain-containing protein
A0A1Q5PXT7,Ion transporter
A0A226E3N5,Potassium voltage-gated channel protein Shaw
A0A6I6MGX0,MlotiK1 channel
A0A4U5NTZ9,EF-hand domain-containing protein
V3ZMA8,Cyclic nucleotide-binding domain-containing protein
A0A6P7SP70,potassium voltage-gated channel subfamily A member 1 isoform X1
F1Q4T7,"Potassium voltage-gated channel, Shaw-related subfamily, member 1b (potassium voltage-gated channel subfamily C member 1 isoform X1)"
A0A7M7P5H3,Potassium voltage-gated channel subfamily KQT member 1
A0A2F0BCF4,Potassium voltage-gated channel subfamily A member 1
A0A1S3IHA9,transient receptor potential cation channel subfamily M member 1-like isoform X1
A0A7J7KFC8,Ion transport domain-containing protein
A0A0R0IFS3,Cyclic nucleotide-binding domain-containing protein
K1QCS6,Ankyrin-1
A0A5A7QDG6,Two pore calcium channel protein 1
A0A1Q9DZD8,Calmodulin
A0A4Z2HD29,Potassium voltage-gated channel subfamily H member 1
A0A1W9N9I7,Cyclic nucleotide-binding domain-containing protein
A0A4E0S237,Voltage-dependent L-type calcium channel subunit alpha
A0A1L8FHX4,transient receptor potential cation channel subfamily V member 6 isoform X2
A7S7P7,BTB domain-containing protein
A0A3P3VMJ7,Ion transporter
A0A016RVK3,Ion transport domain-containing protein
A0A068YE07,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A2P4S6P1,Ion transport domain-containing protein
A0A0K0J2R3,BMA-OSM-9
E9I4J6,Ion transport domain-containing protein
A0A1L8EL93,Potassium voltage-gated channel subfamily B member 1 (Voltage-gated potassium channel subunit Kv2.1)
A0A6V7VFP4,Ion transport domain-containing protein
A0A267FB80,Voltage-dependent L-type calcium channel subunit alpha
A0A4W3IPQ6,Ryanodine receptor 1
A0A3R7PGW4,Ion transport domain-containing protein
A0A1I2I4N3,Ion transport protein
A0A078AHV6,Cyclic nucleotide-binding domain-containing protein
A0A7E6ELA5,BK channel (Maxi K channel)
A0A0S4J1J4,"Ion transporter, putative"
T1F057,BTB domain-containing protein
O94759,Transient receptor potential cation channel subfamily M member 2 (Estrogen-responsive element-associated gene 1 protein) (Long transient receptor potential channel 2) (LTrpC-2) (LTrpC2) (Transient receptor potential channel 7) (TrpC7) (Transient receptor potential melastatin 2)
A0A2R6QWS7,Cyclic nucleotide-gated ion channel like
A0A6H5HWG5,Cyclic nucleotide-binding domain-containing protein
A0A6J8ECF3,Sodium channel protein
A0CIL4,"Chromosome undetermined scaffold_19, whole genome shotgun sequence"
A0A7M5UBG4,BTB domain-containing protein
A0A6P8IAF6,cation channel sperm-associated protein 3-like
A0A1Y0CVP7,Ion transporter
A0A3M0J3W0,Voltage-dependent calcium channel alpha-1 subunit IQ domain-containing protein
A0A2T7NZK8,Cyclic nucleotide-binding domain-containing protein
R1DSM6,Ion transport domain-containing protein
A0A5B7GCV4,Mucolipin-3
A0A6V7TQN1,Voltage-dependent calcium channel alpha-1 subunit IQ domain-containing protein
A0A0N4YSE8,Potassium voltage-gated channel protein eag (inferred by orthology to a D. melanogaster protein)
A0A7M7N7B4,Uncharacterized protein
A0A2T7NE78,Sodium channel protein
H3HCU8,DASH complex subunit DAD4 (Outer kinetochore protein DAD4)
A0A6V7UDC5,Ion transport domain-containing protein
A0A078ARK0,Wd-40 repeat protein
A0A6J8BM23,BK channel (Maxi K channel)
A0A2J6KER2,Cyclic nucleotide-binding domain-containing protein
A0A1Y1HWP1,K+-channel ERG and related proteins
P29973,"cGMP-gated cation channel alpha-1 (Cyclic nucleotide-gated cation channel 1) (Cyclic nucleotide-gated channel alpha-1) (CNG channel alpha-1) (CNG-1) (CNG1) (Cyclic nucleotide-gated channel, photoreceptor) (Rod photoreceptor cGMP-gated channel subunit alpha)"
A0A3M0ING9,Cyclic nucleotide-binding domain-containing protein
A0A6P8HB58,voltage-dependent P/Q-type calcium channel subunit alpha-1A-like
A0A3B1DR32,EF-hand domain-containing protein
L1JQP6,PH domain-containing protein
A0A2K3PJ79,Potassium channel AKT1-like protein
A0A1D1VA30,EF-hand domain-containing protein
A0A2G8KJJ9,Tetrameric potassium-selective cyclic nucleotide gated channel
A0A1S3H6U8,"Inositol 1,4,5-trisphosphate receptor"
A0A2K1LA11,Ion transport domain-containing protein
A0A1X7V711,Uncharacterized protein
D9N131,BTB domain-containing protein
M7B1B2,Cation channel sperm-associated protein 1
Q22B64,Cyclic nucleotide-binding domain protein
A0A2T7PIM3,BTB domain-containing protein
A0CBH9,BK channel (Maxi K channel)
A0A2G8KSD5,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A6P7T688,potassium voltage-gated channel protein Shaw-like
A0A3Q0JCF9,short transient receptor potential channel 7-like
A0DPG6,"Chromosome undetermined scaffold_59, whole genome shotgun sequence"
S4R7E4,Potassium voltage-gated channel 7b (Potassium voltage-gated channel subfamily Q member 4)
A0A0N4UP23,BTB domain-containing protein
Q91ZR5,Cation channel sperm-associated protein 1 (CatSper1)
A0A3M0L3Y3,Sodium channel protein
A0A0R0IFH6,Ion transport domain-containing protein
A0A2K3DJT5,Cyclic nucleotide-binding domain-containing protein
A0A3P7L763,Ion transport domain-containing protein
V4A142,Cyclic nucleotide-binding domain-containing protein
A0A1L8HQR4,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A2J8A869,Sodium channel protein 1 brain
A0A6I9HCR4,potassium voltage-gated channel subfamily H member 1
L1J561,EF-hand domain-containing protein
S8CEY8,Cyclic nucleotide-binding domain-containing protein
A0A0R0L8J1,Potassium channel
Q03611,Cyclic nucleotide-gated cation channel (Abnormal chemotaxis protein 4)
A0A0R4IB92,"Transient receptor potential cation channel, subfamily M, member 5 (transient receptor potential cation channel subfamily M member 5 isoform X1)"
A0A1Q9D7D8,Potassium voltage-gated channel subfamily H member 6
A0A4C1T3A8,Sodium channel protein para
A0A0K9NU28,Potassium channel
D8SGT0,Uncharacterized protein SmCNGC1_2
T1FXG3,Cyclic nucleotide-binding domain-containing protein
A0A016VX74,RIH_assoc domain-containing protein
A0A077ZDV0,Potassium voltage gated channel subfamily KQT
A0A6V7WBA4,Uncharacterized protein
A0A0V0Y981,Transient receptor potential cation channel subfamily V member 5
D7FR41,Voltage-gated Ion Channel (VIC) Superfamily
I7LVV8,Cation channel family protein
A0A6P5ATU7,Voltage-dependent T-type calcium channel subunit alpha
A0A6P5AVU8,transient-receptor-potential-like protein
A0A4S2LT45,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A1S3ILS1,two pore calcium channel protein 1
A0A093BQE1,Potassium voltage-gated channel subfamily A member 5
A7SHB6,BTB domain-containing protein
S4RK40,Potassium voltage-gated channel subfamily H member 6
A0A7I8W3Q2,DgyrCDS10754
Q9WUB8,Voltage-dependent T-type calcium channel subunit alpha
A4VCS1,Cyclic nucleotide-binding protein
A0A7I8W2V5,DgyrCDS9638
A0A3P7NDT0,Ion transport domain-containing protein
A0A7J7LEC1,Cyclic nucleotide-binding domain-containing protein
L1IYN2,PH domain-containing protein
A0A5A8C3C8,Ion transport domain-containing protein
A0A6P8YV07,Sodium channel protein
C5KUA7,"Mucolipin, putative"
A0A6P8ZUD1,sodium leak channel non-selective protein isoform X3
A0A1D1UTV0,Voltage-dependent calcium channel alpha-1 subunit IQ domain-containing protein
A0A7M7P6I6,Cyclic nucleotide-binding domain-containing protein
A0A0N4VNU4,Ion_trans domain-containing protein
A0A1S3IZ36,potassium voltage-gated channel subfamily A member 2 isoform X2
A0A1Q9DW17,EF-hand domain-containing protein
A0A4S2LDS0,Cyclic nucleotide-binding domain-containing protein
A0A0B2VJJ5,Transient receptor potential cation channel subfamily V member 5
A0A210Q7N4,Transient receptor potential cation channel subfamily A member 1
A0A4V6YSX9,BK channel (Maxi K channel)
